dataset,pipeline,iteration,tp,fp,fn,precision,recall,f1,f05
SMD,4 std,1,256,104,71,0.7111111111111111,0.7828746177370031,0.7452692867540028,0.724391624221845
SMD,GMM + chi2,1,76,18,251,0.8085106382978723,0.2324159021406728,0.3610451306413302,0.5405405405405405
SMD,GMM + gamma,1,303,31,24,0.907185628742515,0.926605504587156,0.9167927382753404,0.9110042092603726
SMD,Normal + chi,1,57,15,270,0.7916666666666666,0.1743119266055046,0.28571428571428575,0.46341463414634143
SMD,Normal + gamma,1,305,42,22,0.8789625360230547,0.9327217125382263,0.9050445103857567,0.8892128279883381
SMD,4 std,2,256,104,71,0.7111111111111111,0.7828746177370031,0.7452692867540028,0.724391624221845
SMD,GMM + chi2,2,76,18,251,0.8085106382978723,0.2324159021406728,0.3610451306413302,0.5405405405405405
SMD,GMM + gamma,2,303,31,24,0.907185628742515,0.926605504587156,0.9167927382753404,0.9110042092603726
SMD,Normal + chi,2,57,15,270,0.7916666666666666,0.1743119266055046,0.28571428571428575,0.46341463414634143
SMD,Normal + gamma,2,305,41,22,0.8815028901734104,0.9327217125382263,0.9063893016344725,0.8912916423144359
SMD,4 std,3,256,104,71,0.7111111111111111,0.7828746177370031,0.7452692867540028,0.724391624221845
SMD,GMM + chi2,3,76,18,251,0.8085106382978723,0.2324159021406728,0.3610451306413302,0.5405405405405405
SMD,GMM + gamma,3,303,32,24,0.9044776119402985,0.926605504587156,0.9154078549848943,0.9088182363527295
SMD,Normal + chi,3,57,15,270,0.7916666666666666,0.1743119266055046,0.28571428571428575,0.46341463414634143
SMD,Normal + gamma,3,305,42,22,0.8789625360230547,0.9327217125382263,0.9050445103857567,0.8892128279883381
SMD,4 std,4,256,104,71,0.7111111111111111,0.7828746177370031,0.7452692867540028,0.724391624221845
SMD,GMM + chi2,4,76,18,251,0.8085106382978723,0.2324159021406728,0.3610451306413302,0.5405405405405405
SMD,GMM + gamma,4,303,31,24,0.907185628742515,0.926605504587156,0.9167927382753404,0.9110042092603726
SMD,Normal + chi,4,57,15,270,0.7916666666666666,0.1743119266055046,0.28571428571428575,0.46341463414634143
SMD,Normal + gamma,4,305,42,22,0.8789625360230547,0.9327217125382263,0.9050445103857567,0.8892128279883381
SMD,4 std,5,256,104,71,0.7111111111111111,0.7828746177370031,0.7452692867540028,0.724391624221845
SMD,GMM + chi2,5,55,20,272,0.7333333333333333,0.16819571865443425,0.2736318407960199,0.43859649122807015
SMD,GMM + gamma,5,302,35,25,0.8961424332344213,0.9235474006116208,0.9096385542168675,0.9014925373134328
SMD,Normal + chi,5,45,18,282,0.7142857142857143,0.13761467889908258,0.2307692307692308,0.3886010362694301
SMD,Normal + gamma,5,304,41,23,0.881159420289855,0.9296636085626911,0.9047619047619048,0.8904510837727007
