dataset,signal,pipeline,fp,fn,tp
SMAP,P-1,area,0,2,1
SMAP,S-1,area,0,0,1
SMAP,E-1,area,0,0,2
SMAP,E-2,area,0,0,1
SMAP,E-3,area,0,0,1
SMAP,E-4,area,0,0,1
SMAP,E-5,area,0,0,1
SMAP,E-6,area,0,0,1
SMAP,E-7,area,0,0,1
SMAP,E-8,area,0,0,1
SMAP,E-9,area,0,1,0
SMAP,E-10,area,0,0,2
SMAP,E-11,area,0,0,2
SMAP,E-12,area,0,0,2
SMAP,E-13,area,2,2,1
SMAP,A-1,area,2,0,1
SMAP,D-1,area,0,1,0
SMAP,P-2,area,0,0,2
SMAP,P-3,area,1,0,1
SMAP,D-2,area,0,1,0
SMAP,D-3,area,1,1,0
SMAP,D-4,area,0,1,0
SMAP,A-2,area,0,0,1
SMAP,A-3,area,0,0,1
SMAP,A-4,area,0,1,0
SMAP,G-1,area,0,1,0
SMAP,G-2,area,0,0,1
SMAP,D-5,area,0,0,1
SMAP,D-6,area,0,0,1
SMAP,D-7,area,0,1,0
SMAP,F-1,area,2,1,0
SMAP,P-4,area,0,0,3
SMAP,G-3,area,1,1,0
SMAP,T-1,area,0,2,0
SMAP,T-2,area,0,1,0
SMAP,D-8,area,0,1,0
SMAP,D-9,area,0,1,0
SMAP,F-2,area,1,0,1
SMAP,G-4,area,1,0,1
SMAP,T-3,area,2,0,2
SMAP,D-11,area,0,0,1
SMAP,D-12,area,0,1,0
SMAP,B-1,area,0,1,0
SMAP,G-6,area,0,0,1
SMAP,G-7,area,0,0,3
SMAP,P-7,area,0,1,0
SMAP,R-1,area,1,1,0
SMAP,A-5,area,0,1,0
SMAP,A-6,area,0,1,0
SMAP,A-7,area,0,1,0
SMAP,D-13,area,0,1,0
SMAP,A-8,area,0,1,0
SMAP,A-9,area,1,1,0
SMAP,F-3,area,0,1,0
MSL,M-6,area,0,1,0
MSL,M-1,area,0,1,0
MSL,M-2,area,0,1,0
MSL,S-2,area,0,0,1
MSL,P-10,area,0,1,0
MSL,T-4,area,0,1,0
MSL,T-5,area,0,0,1
MSL,F-7,area,0,3,0
MSL,M-3,area,0,1,0
MSL,M-4,area,0,0,1
MSL,M-5,area,1,1,0
MSL,P-15,area,0,1,0
MSL,C-1,area,0,1,1
MSL,C-2,area,0,2,0
MSL,T-12,area,0,1,0
MSL,T-13,area,0,2,0
MSL,F-4,area,0,1,0
MSL,F-5,area,0,0,1
MSL,D-14,area,0,2,0
MSL,T-9,area,0,2,0
MSL,P-14,area,0,1,0
MSL,T-8,area,0,2,0
MSL,P-11,area,0,0,2
MSL,D-15,area,0,0,1
MSL,D-16,area,0,1,0
MSL,M-7,area,0,1,0
MSL,F-8,area,1,0,1
SMD,machine-3-10,area,0,13,0
SMD,machine-1-1,area,0,6,2
SMD,machine-2-5,area,2,7,14
SMD,machine-1-2,area,1,6,4
SMD,machine-1-7,area,0,12,1
SMD,machine-3-11,area,3,0,3
SMD,machine-3-2,area,0,10,0
SMD,machine-2-8,area,0,1,0
SMD,machine-3-6,area,0,11,0
SMD,machine-1-5,area,0,7,0
SMD,machine-3-3,area,0,26,0
SMD,machine-3-1,area,0,3,1
SMD,machine-2-7,area,0,8,12
SMD,machine-3-9,area,12,0,4
SMD,machine-2-9,area,0,6,4
SMD,machine-3-4,area,0,8,0
SMD,machine-1-4,area,0,10,2
SMD,machine-2-4,area,2,3,17
SMD,machine-1-8,area,2,4,16
SMD,machine-2-3,area,0,7,3
SMD,machine-3-8,area,7,0,6
SMD,machine-2-1,area,0,11,2
SMD,machine-1-6,area,0,29,1
SMD,machine-3-7,area,3,0,5
SMD,machine-1-3,area,0,11,1
SMD,machine-2-2,area,0,10,1
SMD,machine-3-5,area,0,10,1
SMD,machine-2-6,area,0,5,3
SMAP,P-1,point,1,2,1
SMAP,S-1,point,0,0,1
SMAP,E-1,point,1,0,2
SMAP,E-2,point,0,0,1
SMAP,E-3,point,1,0,1
SMAP,E-4,point,0,0,1
SMAP,E-5,point,0,0,1
SMAP,E-6,point,0,0,1
SMAP,E-7,point,0,0,1
SMAP,E-8,point,0,0,1
SMAP,E-9,point,0,0,1
SMAP,E-10,point,0,0,2
SMAP,E-11,point,0,0,2
SMAP,E-12,point,0,0,2
SMAP,E-13,point,3,0,3
SMAP,A-1,point,0,0,1
SMAP,D-1,point,0,0,1
SMAP,P-2,point,0,0,2
SMAP,P-3,point,0,0,1
SMAP,D-2,point,2,0,1
SMAP,D-3,point,0,1,0
SMAP,D-4,point,0,1,0
SMAP,A-2,point,2,0,1
SMAP,A-3,point,0,0,1
SMAP,A-4,point,1,1,0
SMAP,G-1,point,0,1,0
SMAP,G-2,point,3,0,1
SMAP,D-5,point,4,0,1
SMAP,D-6,point,1,0,1
SMAP,D-7,point,2,0,1
SMAP,F-1,point,0,0,1
SMAP,P-4,point,0,0,3
SMAP,G-3,point,0,1,0
SMAP,T-1,point,0,0,2
SMAP,T-2,point,0,0,1
SMAP,D-8,point,1,0,1
SMAP,D-9,point,1,0,1
SMAP,F-2,point,4,0,1
SMAP,G-4,point,0,0,1
SMAP,T-3,point,0,0,2
SMAP,D-11,point,0,0,1
SMAP,D-12,point,0,1,0
SMAP,B-1,point,0,0,1
SMAP,G-6,point,0,0,1
SMAP,G-7,point,0,0,3
SMAP,P-7,point,2,0,1
SMAP,R-1,point,0,0,1
SMAP,A-5,point,0,0,1
SMAP,A-6,point,0,1,0
SMAP,A-7,point,1,0,1
SMAP,D-13,point,0,1,0
SMAP,A-8,point,0,1,0
SMAP,A-9,point,0,1,0
SMAP,F-3,point,0,1,0
MSL,M-6,point,0,0,1
MSL,M-1,point,0,0,1
MSL,M-2,point,0,0,1
MSL,S-2,point,1,0,1
MSL,P-10,point,0,0,1
MSL,T-4,point,0,0,1
MSL,T-5,point,1,0,1
MSL,F-7,point,1,0,3
MSL,M-3,point,1,0,1
MSL,M-4,point,1,1,0
MSL,M-5,point,0,0,1
MSL,P-15,point,0,0,1
MSL,C-1,point,0,0,2
MSL,C-2,point,0,0,2
MSL,T-12,point,1,0,1
MSL,T-13,point,1,2,0
MSL,F-4,point,0,1,0
MSL,F-5,point,0,1,0
MSL,D-14,point,1,0,2
MSL,T-9,point,0,0,2
MSL,P-14,point,0,0,1
MSL,T-8,point,1,0,2
MSL,P-11,point,0,2,0
MSL,D-15,point,1,0,1
MSL,D-16,point,0,1,0
MSL,M-7,point,0,0,1
MSL,F-8,point,1,0,1
SMD,machine-3-10,point,0,0,13
SMD,machine-1-1,point,0,0,8
SMD,machine-2-5,point,0,0,21
SMD,machine-1-2,point,5,3,7
SMD,machine-1-7,point,1,1,12
SMD,machine-3-11,point,0,0,3
SMD,machine-3-2,point,0,0,10
SMD,machine-2-8,point,11,0,1
SMD,machine-3-6,point,0,0,11
SMD,machine-1-5,point,0,0,7
SMD,machine-3-3,point,0,0,26
SMD,machine-3-1,point,0,0,4
SMD,machine-2-7,point,0,0,20
SMD,machine-3-9,point,0,0,4
SMD,machine-2-9,point,0,0,10
SMD,machine-3-4,point,0,0,8
SMD,machine-1-4,point,0,10,2
SMD,machine-2-4,point,0,0,20
SMD,machine-1-8,point,0,0,20
SMD,machine-2-3,point,8,5,5
SMD,machine-3-8,point,0,0,6
SMD,machine-2-1,point,0,0,13
SMD,machine-1-6,point,0,1,29
SMD,machine-3-7,point,0,0,5
SMD,machine-1-3,point,0,8,4
SMD,machine-2-2,point,0,0,11
SMD,machine-3-5,point,1,0,11
SMD,machine-2-6,point,0,0,8
